x,y,z,action
-0.010226803,0.013378604,0.00013684,Ready
-0.00980223,0.013869958,0.000135976,Ready
-0.009948335,0.013948733,0.000138787,Ready
-0.01019759,0.013404989,0.000136718,Ready
-0.010106297,0.01347135,0.000136165,Ready
-0.009830418,0.013729723,0.000134988,Ready
-0.009860615,0.014197797,0.00014002,Ready
-0.010069458,0.01411073,0.000142109,Ready
-0.009561982,0.014236007,0.000136144,Ready
-0.009706673,0.014397191,0.00013977,Ready
-0.009890796,0.014119585,0.000139675,Ready
-0.00949806,0.014632994,0.000139006,Ready
-0.009880193,0.014977113,0.000148001,Ready
-0.010536183,0.014375584,0.000151488,Ready
-0.010697763,0.014038567,0.000150205,Ready
-0.010057639,0.014285882,0.000143704,Ready
-0.010245767,0.014124283,0.000144736,Ready
-0.010005356,0.014362619,0.000143725,Ready
-0.009892923,0.014293525,0.000141426,Ready
-0.009664833,0.013829511,0.000133679,Ready
-0.010255653,0.014994768,0.000153807,Ready
-0.010426362,0.014974497,0.000156156,Ready
-0.010166415,0.014649188,0.000148953,Ready
-0.009715252,0.014435144,0.000140262,Ready
-0.009923678,0.014377352,0.000142698,Ready
-0.009544512,0.01421611,0.000135706,Ready
-0.010259664,0.013946026,0.000143103,Ready
-0.010114655,0.014085166,0.000142488,Ready
-0.010510123,0.014540679,0.000152849,Ready
-0.010030951,0.014371554,0.000144183,Ready
-0.009926751,0.014235555,0.000141334,Ready
-0.009749911,0.013873216,0.000135282,Ready
-0.009689078,0.014159662,0.000137214,Ready
-0.010277578,0.014353575,0.000147543,Ready
-0.010247083,0.014374018,0.000147315,Ready
-0.010106492,0.014324122,0.000144789,Ready
-0.010133387,0.01398262,0.000141712,Ready
-0.010441341,0.013763174,0.000143727,Ready
-0.009676821,0.01462011,0.000141498,Ready
-0.009876915,0.014029513,0.000138589,Ready
-0.00978272,0.013655726,0.000133609,Ready
-0.009197204,0.013801174,0.00012695,Ready
-0.009186411,0.01396905,0.000128343,Ready
-0.009362982,0.013817409,0.00012939,Ready
-0.010084942,0.01407496,0.000141966,Ready
-0.010145128,0.014063698,0.000142699,Ready
-0.010078347,0.014210833,0.000143243,Ready
-0.009870487,0.014132477,0.000139515,Ready
-0.010056637,0.013630794,0.0001371,Ready
-0.010214944,0.01413906,0.000144452,Ready
-0.010401779,0.014485241,0.000150696,Ready
-0.010771394,0.014685054,0.000158205,Ready
-0.010028484,0.014443149,0.000144865,Ready
-0.009913425,0.014617511,0.000144932,Ready
-0.009848129,0.013699326,0.000134932,Ready
-0.01006732,0.013984001,0.000140802,Ready
-0.009719793,0.013932107,0.000135437,Ready
-0.009739761,0.01334266,0.000129972,Ready
-0.009899795,0.012750817,0.000126247,Ready
-0.010208846,0.013332726,0.000136131,Ready
-0.009819287,0.012879389,0.000126483,Ready
-0.009669342,0.013748461,0.000132957,Ready
-0.009718433,0.014280291,0.000138803,Ready
-0.010073379,0.013557275,0.000136587,Ready
-0.010753919,0.014065238,0.00015128,Ready
-0.010738396,0.013465627,0.000144621,Ready
-0.010423338,0.013829017,0.000144166,Ready
-0.010571906,0.013559965,0.000143376,Ready
-0.010614088,0.013594381,0.000144313,Ready
-0.010720632,0.013755754,0.000147493,Ready
-0.010267271,0.013551317,0.000139155,Ready
-0.009394378,0.01391925,0.000130781,Ready
-0.009553544,0.01412214,0.000134936,Ready
-0.009194662,0.01429546,0.000131461,Ready
-0.009607348,0.013730744,0.000131935,Ready
-0.010297296,0.0136631,0.000140714,Ready
0.036617681,0.087534697,-0.003219862,Jalan
0.035764405,0.098603003,-0.00354606,Jalan
0.039598101,0.111716647,-0.004455217,Jalan
0.049511322,0.121106679,-0.006048254,Jalan
0.060904626,0.140089911,-0.008633777,Jalan
0.053111525,0.153786791,-0.008278444,Jalan
0.02849685,0.127327652,-0.003659748,Jalan
0.047788873,0.105541521,-0.005077972,Jalan
0.018312356,0.079787736,-0.001466024,Jalan
0.009999656,0.070896606,-0.000710766,Jalan
0.006167948,0.049666095,-0.000306722,Jalan
0.002798835,0.029787589,-0.000713231,Jalan
0.009133092,0.01786886,-0.000163231,Jalan
0.017603958,0.003126278,-0.000133231,Jalan
0.025162047,0.005795379,-0.000145872,Jalan
0.023015994,0.010884444,-0.000250598,Jalan
0.028113088,0.019088518,-0.000536947,Jalan
0.027690896,0.028517931,-0.000790312,Jalan
0.018207135,0.028126028,-0.000512382,Jalan
0.012822263,0.027583935,-0.000353852,Jalan
0.013976583,0.031855262,-0.000445497,Jalan
0.007985953,0.033596366,-0.000268459,Jalan
-0.001050898,0.038968512,4.098308583,Jalan
-0.008269687,0.03763407,0.000311453,Jalan
-0.006505826,0.037450902,0.000243825,Jalan
