x,y,z,action
-0.010131313,0.013343727,0.000135208,ready
-0.009938175,0.013417376,0.000133363,ready
-0.010089917,0.01316794,0.000132882,ready
-0.010414789,0.013882878,0.000144609,ready
-0.010679197,0.014170375,0.000151352,ready
-0.010747019,0.013580563,0.000145972,ready
-0.010934532,0.01353976,0.000148073,ready
-0.011326678,0.013843439,0.000156825,ready
-0.011313718,0.013863607,0.000156874,ready
-0.010596263,0.013591518,0.000144041,ready
-0.010677373,0.013537623,0.000144568,ready
-0.010486249,0.013750355,0.000144211,ready
-0.01061256,0.014178831,0.000150497,ready
-0.010229598,0.013772371,0.000140907,ready
-0.010279363,0.013796049,0.000141836,ready
-0.010156517,0.013961965,0.000141826,ready
-0.009469899,0.014384482,0.00013624,ready
-0.009718212,0.013920704,0.000135304,ready
-0.009934309,0.013664667,0.000135768,ready
-0.010376786,0.013798802,0.000143209,ready
-0.010358868,0.013671069,0.000141638,ready
-0.010153327,0.013847329,0.000140617,ready
-0.00985265,0.013559723,0.000133618,ready
-0.009420806,0.012962999,0.000122138,ready
-0.010226803,0.013378604,0.00013684,ready
-0.00980223,0.013869958,0.000135976,ready
-0.009948335,0.013948733,0.000138787,ready
-0.01019759,0.013404989,0.000136718,ready
-0.010106297,0.01347135,0.000136165,ready
-0.009830418,0.013729723,0.000134988,ready
-0.009860615,0.014197797,0.00014002,ready
-0.010069458,0.01411073,0.000142109,ready
-0.009561982,0.014236007,0.000136144,ready
-0.009706673,0.014397191,0.00013977,ready
-0.009890796,0.014119585,0.000139675,ready
-0.00949806,0.014632994,0.000139006,ready
-0.009880193,0.014977113,0.000148001,ready
-0.010536183,0.014375584,0.000151488,ready
-0.010697763,0.014038567,0.000150205,ready
-0.010057639,0.014285882,0.000143704,ready
-0.010245767,0.014124283,0.000144736,ready
-0.010005356,0.014362619,0.000143725,ready
-0.009892923,0.014293525,0.000141426,ready
-0.009664833,0.013829511,0.000133679,ready
-0.009822688,0.013786724,0.000135442,ready
-0.009846049,0.01382325,0.000136124,ready
-0.009590317,0.01379226,0.000132291,ready
-0.009560818,0.013808618,0.00013204,ready
-0.010073129,0.013420481,0.000135205,ready
-0.010951253,0.013297866,0.00014565,ready
0.998459046,0.001538419,0.038082715,salto
0.998458295,0.00153702,0.037673931,salto
0.998480984,0.001511584,0.036969729,salto
0.998511186,0.001477404,0.036094139,salto
0.998497399,0.001488431,0.035981201,salto
0.998484053,0.001497751,0.035772578,salto
0.998518346,0.001453552,0.034532722,salto
0.998497155,0.001472204,0.03462561,salto
0.998474784,0.001495577,0.03498491,salto
0.998425445,0.001531253,0.034723328,salto
0.998436641,0.001517688,0.034440664,salto
0.99843684,0.001511108,0.034074656,salto
0.998419498,0.001510203,0.033351969,salto
0.998413681,0.001507113,0.033004904,salto
0.998409121,0.001520657,0.033487168,salto
0.998457827,0.001478054,0.03316883,salto
0.998458867,0.001478952,0.033254105,salto
0.998503838,0.001447788,0.033420136,salto
0.998545058,0.001410216,0.033093431,salto
0.998514583,0.001444016,0.033693846,salto
0.998485735,0.001481818,0.034647768,salto
0.998481703,0.001487085,0.034785009,salto
0.998444256,0.001520697,0.035003958,salto
0.998412501,0.001549954,0.035243395,salto
0.998345846,0.00161913,0.036237629,salto
0.998378525,0.001588089,0.0359419,salto
0.998397784,0.001570293,0.035801067,salto
0.998386862,0.001590057,0.036590845,salto
0.998394268,0.001586184,0.036791205,salto
0.998425251,0.00155458,0.03634925,salto
0.998467465,0.001509852,0.03560512,salto
0.998507586,0.001469955,0.035106614,salto
0.998535182,0.001448224,0.035256145,salto
0.99855966,0.001424273,0.034984418,salto
0.998549205,0.001441865,0.035890156,salto
0.998496622,0.001495102,0.036656705,salto
0.998477473,0.001513459,0.036802583,salto
0.99846757,0.001523251,0.036915444,salto
0.998488836,0.001503106,0.036785235,salto
0.998457591,0.001534157,0.03715961,salto
0.99843971,0.001555607,0.037909888,salto
0.998422366,0.001570317,0.037729474,salto
0.998413431,0.001577336,0.037593653,salto
0.998414043,0.001575367,0.037425068,salto
0.998427295,0.001565149,0.037634896,salto
0.998410084,0.00158272,0.03790006,salto
0.998400883,0.001593477,0.038242522,salto
0.998396494,0.00159725,0.038204053,salto
0.998378396,0.001617451,0.038769784,salto
0.99833518,0.001656902,0.038730122,salto
0.998322156,0.001670992,0.039034457,salto
0.805535483,-0.01216728,-0.59219137,jatuh depan
0.805579321,-0.011990857,-0.59214193,jatuh depan
0.805721446,-0.011670792,-0.591966561,jatuh depan
0.805483895,-0.011496265,-0.592299845,jatuh depan
0.805348816,-0.01204703,-0.592452511,jatuh depan
0.805270825,-0.013258101,-0.592484949,jatuh depan
0.805172256,-0.013456311,-0.592606359,jatuh depan
0.805246547,-0.014646105,-0.592424831,jatuh depan
0.805349116,-0.014200127,-0.592316117,jatuh depan
0.805556136,-0.013625515,-0.592072616,jatuh depan
0.805507545,-0.013607265,-0.592140019,jatuh depan
