x,y,z
-0.570995636122,-0.0687480917152,-0.0480677984494
-0.570720094973,-0.0695753102972,-0.0486173455448
-0.570731206199,-0.0697842748554,-0.0487663722549
-0.570852157356,-0.0701806312931,-0.0490619282364
-0.571289148851,-0.0710787170395,-0.0497537113598
-0.571347830986,-0.0712718278959,-0.0498980898621
-0.571292483378,-0.0714767062699,-0.0500359199045
-0.570955342587,-0.0712317375861,-0.0498184876804
-0.570702007178,-0.0710847619794,-0.0496815697511
-0.570523217871,-0.0706524211955,-0.0493529122559
-0.570315869305,-0.0704250527604,-0.0491656312747
-0.570569244114,-0.0698778170718,-0.0488117605587
-0.570408310763,-0.0696480465123,-0.0486290281665
-0.570704421258,-0.0692985474178,-0.0484198817134
-0.57039185602,-0.0692614867576,-0.0483541421424
-0.570287598363,-0.0693084809917,-0.048374103294
-0.570122120894,-0.0691080949838,-0.0482118669378
-0.570649897945,-0.0693027663407,-0.0484159527616
-0.570735261387,-0.0695061836252,-0.0485704466748
-0.571234825969,-0.0691710294619,-0.0483969539944
-0.571438518199,-0.0685354988888,-0.0479731475406
-0.571759145208,-0.0682524662251,-0.0478130482733
-0.571658653657,-0.068683507734,-0.0481055454972
-0.571912355056,-0.0685912077688,-0.0480721153952
-0.571530507787,-0.0689392848892,-0.0482704102885
-0.571534690351,-0.0683783185011,-0.0478740143798
-0.571571309731,-0.0680389574893,-0.0476385056728
-0.571852267677,-0.0687890675294,-0.0482046783764
-0.572008185888,-0.068650663156,-0.0481262914781
-0.572596976447,-0.0689947127286,-0.0484446358601
-0.572770669413,-0.0690695012782,-0.0485197602717
-0.573269150715,-0.069189881947,-0.0486686800426
-0.573056340807,-0.0693805808488,-0.0487771038273
-0.572983843595,-0.0692893822432,-0.0487030520976
-0.572508791873,-0.0699031007807,-0.0490781106835
-0.57192355945,-0.0705136793679,-0.0494357874111
-0.572193130268,-0.0709521507293,-0.049781779254
-0.57222035531,-0.0711350206237,-0.0499151030837
-0.572252480032,-0.0716565403175,-0.0502894984744
-0.571566076684,-0.0718073519339,-0.0503060792979
-0.570745245631,-0.072115184776,-0.0504157808725
-0.570176115999,-0.0720893053886,-0.0503224310373
-0.569639076257,-0.072777739571,-0.0507372604924
-0.569048385173,-0.0732982607866,-0.0510254833172
-0.568843024455,-0.073106971349,-0.0508633666661
-0.568970972898,-0.0726299126572,-0.0505444770892
-0.569102543756,-0.0724835151201,-0.0504587842137
-0.569277386164,-0.071874710842,-0.0500529771894
-0.569372929138,-0.0713333277816,-0.0496840939084
