x,y,z
0.00221503732197,-0.562749866845,0.00150795721813
0.00125338364161,-0.562726160922,0.000853225191683
-0.000320104546685,-0.56231595378,-0.000217674473921
-0.00326685084396,-0.561839114035,-0.00221876483832
-0.0040074903892,-0.561333747392,-0.00271822930997
-0.00552697701869,-0.561281258021,-0.00374842366826
-0.00583209814394,-0.560710525692,-0.00394950500093
-0.00630090700746,-0.560343636961,-0.00426293809481
-0.00728635643681,-0.559837513182,-0.00492323621134
-0.00845763807255,-0.559971806968,-0.00571675528135
-0.00907860555976,-0.559629633503,-0.00613109457137
-0.00983845852108,-0.559492577052,-0.00664198151168
-0.0104968080406,-0.559671963039,-0.00708984502467
-0.0113728272544,-0.559087164387,-0.00767000847602
-0.0115970277815,-0.559130940823,-0.00782214645065
-0.0125093962698,-0.559006388279,-0.00843499702444
-0.0128250065081,-0.55867982032,-0.00864053698607
-0.0130478964556,-0.558747407085,-0.00879230377188
-0.012952511223,-0.559290133677,-0.00874034246723
-0.0114727519781,-0.560132636969,-0.00775849629209
-0.00955249620779,-0.56067071802,-0.00646868775279
-0.00792889779795,-0.560996682422,-0.00537362424273
-0.0069076028534,-0.561170825195,-0.00468351119103
-0.00359618570001,-0.561423787833,-0.00243980982758
-0.00249414015607,-0.561664851884,-0.0016931830752
-0.000636608704831,-0.562071932349,-0.000432626138103
0.000586822638917,-0.562420162636,0.000399153859611
9.00941745962e-05,-0.562429635683,6.12831001434e-05
0.000132568707101,-0.56200942001,9.0076274252e-05
-0.000834953101048,-0.56145094775,-0.000566501368001
-0.00454807475839,-0.561635901343,-0.00308734141909
-0.00694614628585,-0.562704852923,-0.00472847627397
-0.00989423352732,-0.563458662591,-0.00674891518468
-0.00984908569766,-0.563103273863,-0.00671190670082
-0.00859679747409,-0.563412344557,-0.00586306906409
-0.00809426334988,-0.563772600721,-0.00552546207318
-0.00750492188472,-0.563322463143,-0.00511711034516
-0.00739356424422,-0.562639921204,-0.00503223348621
-0.00691340016913,-0.561269757798,-0.00468864876845
-0.00500878203125,-0.560958063096,-0.00339410682237
-0.00480171140799,-0.560749413682,-0.0032520167258
-0.004562432378,-0.56014725585,-0.0030851181693
-0.00380506585515,-0.56025298175,-0.00257367717306
-0.00466323934649,-0.560028192844,-0.00315231039112
-0.00601129767721,-0.560400884249,-0.00406759050663
-0.00492978393752,-0.560380904355,-0.00333556064329
-0.00412041034115,-0.560954931476,-0.00279207162268
-0.00271144811137,-0.561141732214,-0.00183820506521
-0.00278333971337,-0.561423428124,-0.00188832731466
-0.00282216454584,-0.561403144778,-0.00191456704348
-0.00283469725177,-0.56087535256,-0.00192043111528
-0.00273270501224,-0.560628164789,-0.00185014295792
-0.00251946440102,-0.560298020558,-0.00170430474792
-0.00327067092608,-0.560219879933,-0.00221202280505
-0.00269605249402,-0.560522805884,-0.00182482724187
-0.0025021524742,-0.560814717676,-0.00169487042658
-0.00218123270547,-0.561156759161,-0.00147880338752
-0.00307707725185,-0.561157344291,-0.00208616990424
-0.00445151153249,-0.561523057823,-0.00302090240713
-0.00428366544346,-0.561689099944,-0.00290824922058
-0.00367149892971,-0.561979588728,-0.00249451057801
-0.00293531142769,-0.561840122981,-0.00199359226622
-0.00126824446337,-0.561945604204,-0.000861590745405
-0.00227474643165,-0.561690162926,-0.00154434441682
-0.00308652752114,-0.561332949393,-0.00209353308856
-0.00418262435758,-0.56046446154,-0.0028306167904
-0.00463585366443,-0.560356406193,-0.00313647404534
-0.0050453882047,-0.560630229703,-0.00341599921537
-0.00530397025307,-0.560833440315,-0.00359298223878
-0.00650061163413,-0.561024346585,-0.00440585720282
-0.00599371185517,-0.561118385478,-0.00406326704082
-0.00604306973402,-0.561184728455,-0.00409743746024
-0.00598399059293,-0.560852330532,-0.00405386966805
-0.00603848902033,-0.56084079766,-0.00409066989255
-0.00630339138934,-0.560890389578,-0.00427068918882
-0.00493729445064,-0.561512119221,-0.00335048730755
